# file...... outputs/Substation_output.csv
# date...... Fri Nov 07 16:20:12 2025
# user...... jacob
# host...... (null)
# target.... substation 9272
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,positive_sequence_voltage,distribution_load,distribution_power_A,distribution_power_B,distribution_power_C
2021-08-08 00:00:00 CDT,+199186+0i,+1.84572e+06+808031j,+607999+435392j,+601586+294964j,+636133+77675.3j
2021-08-08 00:05:00 CDT,+199186+0i,+1.76992e+06+840704j,+580032+457615j,+562144+307159j,+627743+75929.7j
2021-08-08 00:10:00 CDT,+199186+0i,+1.61152e+06+848018j,+546875+466314j,+520657+309108j,+543992+72595.6j
2021-08-08 00:15:00 CDT,+199186+0i,+1.31834e+06+841079j,+443663+464480j,+442294+307316j,+432388+69283j
2021-08-08 00:20:00 CDT,+199186+0i,+1.20857e+06+838590j,+421385+464280j,+382601+305842j,+404584+68468.2j
2021-08-08 00:25:00 CDT,+199186+0i,+1.17482e+06+837861j,+404076+463926j,+371502+305655j,+399240+68279.8j
2021-08-08 00:30:00 CDT,+199186+0i,+1.18901e+06+838032j,+418465+464175j,+373754+305706j,+396787+68150.6j
2021-08-08 00:35:00 CDT,+199186+0i,+1.18153e+06+838352j,+414225+464157j,+351143+305380j,+416164+68814.6j
2021-08-08 00:40:00 CDT,+199186+0i,+1.19414e+06+838639j,+412156+464121j,+362949+305823j,+419037+68695.2j
2021-08-08 00:45:00 CDT,+199186+0i,+1.16707e+06+838383j,+406664+464014j,+350668+305734j,+409742+68635.2j
2021-08-08 00:50:00 CDT,+199186+0i,+1.17177e+06+838291j,+419130+464267j,+353959+305762j,+398685+68261.1j
2021-08-08 00:55:00 CDT,+199186+0i,+1.15532e+06+837749j,+405890+464017j,+354124+305489j,+395307+68243j
2021-08-08 01:00:00 CDT,+199186+0i,+1.16684e+06+837782j,+405733+463973j,+363152+305749j,+397951+68059.5j
2021-08-08 01:05:00 CDT,+199186+0i,+1.1373e+06+837360j,+382023+463643j,+357831+305776j,+397447+67941.4j
2021-08-08 01:10:00 CDT,+199186+0i,+1.13821e+06+837287j,+404620+463996j,+342138+305339j,+391454+67952j
2021-08-08 01:15:00 CDT,+199186+0i,+1.15198e+06+837413j,+419236+464271j,+350182+305436j,+382566+67706.5j
2021-08-08 01:20:00 CDT,+199186+0i,+1.16932e+06+837763j,+397393+463811j,+387960+306411j,+383972+67541.3j
2021-08-08 01:25:00 CDT,+199186+0i,+1.18661e+06+838356j,+403231+463938j,+378270+306137j,+405105+68280.4j
2021-08-08 01:30:00 CDT,+199186+0i,+1.18819e+06+838783j,+393327+463707j,+374890+306057j,+419973+69019.5j
2021-08-08 01:35:00 CDT,+199186+0i,+1.15283e+06+838033j,+389163+463684j,+364083+306197j,+399582+68151.5j
2021-08-08 01:40:00 CDT,+199186+0i,+1.15746e+06+837730j,+404127+463991j,+360893+305850j,+392437+67889j
2021-08-08 01:45:00 CDT,+199186+0i,+1.14761e+06+837520j,+390287+463790j,+364868+305823j,+392453+67906.6j
2021-08-08 01:50:00 CDT,+199186+0i,+1.14616e+06+837309j,+403820+464034j,+361975+305508j,+380364+67767.3j
2021-08-08 01:55:00 CDT,+199186+0i,+1.11166e+06+837191j,+374513+463631j,+348491+305555j,+388654+68004.7j
2021-08-08 02:00:00 CDT,+199186+0i,+1.1328e+06+837533j,+371966+463493j,+373879+306100j,+386958+67940.2j
2021-08-08 02:05:00 CDT,+199186+0i,+1.14379e+06+838003j,+373877+463586j,+358146+305700j,+411764+68717.6j
2021-08-08 02:10:00 CDT,+199186+0i,+1.15677e+06+837899j,+385362+463705j,+375918+305973j,+395484+68220.6j
2021-08-08 02:15:00 CDT,+199186+0i,+1.13717e+06+837375j,+400919+463926j,+355531+305659j,+380719+67789.5j
2021-08-08 02:20:00 CDT,+199186+0i,+1.17304e+06+837855j,+404202+463840j,+378096+306242j,+390745+67773.2j
2021-08-08 02:25:00 CDT,+199186+0i,+1.14974e+06+837744j,+384674+463586j,+367398+306132j,+397669+68026.3j
2021-08-08 02:30:00 CDT,+199186+0i,+1.14017e+06+837874j,+394915+463915j,+341250+305560j,+404002+68399.1j
2021-08-08 02:35:00 CDT,+199186+0i,+1.13321e+06+837590j,+384323+463714j,+353490+305819j,+395402+68057.8j
2021-08-08 02:40:00 CDT,+199186+0i,+1.14083e+06+837951j,+380943+463681j,+361451+305845j,+398432+68424.9j
2021-08-08 02:45:00 CDT,+199186+0i,+1.14863e+06+838050j,+361783+463347j,+376183+306225j,+410667+68478.9j
2021-08-08 02:50:00 CDT,+199186+0i,+1.12364e+06+837103j,+375221+463571j,+352024+305535j,+396391+67996.4j
2021-08-08 02:55:00 CDT,+199186+0i,+1.11114e+06+837796j,+359186+463410j,+340343+305538j,+411616+68847.2j
2021-08-08 03:00:00 CDT,+199186+0i,+1.13394e+06+838173j,+358723+463378j,+357500+305774j,+417720+69021.1j
2021-08-08 03:05:00 CDT,+199186+0i,+1.11595e+06+837628j,+369360+463487j,+345131+305712j,+401454+68429.4j
2021-08-08 03:10:00 CDT,+199186+0i,+1.12207e+06+837096j,+391491+463759j,+349684+305521j,+380893+67816.7j
2021-08-08 03:15:00 CDT,+199186+0i,+1.14519e+06+837627j,+390841+463738j,+371181+305890j,+383170+67999.5j
2021-08-08 03:20:00 CDT,+199186+0i,+1.14946e+06+837658j,+395381+463922j,+366075+305757j,+388001+67979.5j
2021-08-08 03:25:00 CDT,+199186+0i,+1.18265e+06+838292j,+410810+464130j,+368035+305582j,+403806+68579.9j
2021-08-08 03:30:00 CDT,+199186+0i,+1.1721e+06+838057j,+419480+464267j,+358802+305449j,+393817+68341.2j
2021-08-08 03:35:00 CDT,+199186+0i,+1.12767e+06+837450j,+402907+463966j,+345054+305699j,+379710+67785.4j
2021-08-08 03:40:00 CDT,+199186+0i,+1.10737e+06+837177j,+373829+463612j,+343328+305527j,+390208+68037.2j
2021-08-08 03:45:00 CDT,+199186+0i,+1.07565e+06+836459j,+366306+463474j,+330711+305055j,+378632+67929.8j
2021-08-08 03:50:00 CDT,+199186+0i,+1.10784e+06+836838j,+387636+463793j,+330731+305036j,+389472+68008.7j
2021-08-08 03:55:00 CDT,+199186+0i,+1.17081e+06+837958j,+402574+463970j,+364242+305776j,+403993+68212.2j
2021-08-08 04:00:00 CDT,+199186+0i,+1.14062e+06+837356j,+390849+463735j,+375087+306140j,+374683+67481.2j
2021-08-08 04:05:00 CDT,+199186+0i,+1.15061e+06+837730j,+371506+463446j,+375106+305880j,+403997+68403.7j
2021-08-08 04:10:00 CDT,+199186+0i,+1.15973e+06+838452j,+376547+463701j,+341032+305138j,+442148+69612.9j
2021-08-08 04:15:00 CDT,+199186+0i,+1.14225e+06+837758j,+383799+463803j,+340030+305098j,+418424+68856.9j
2021-08-08 04:20:00 CDT,+199186+0i,+1.14737e+06+837751j,+379545+463599j,+369943+305808j,+397882+68343.5j
2021-08-08 04:25:00 CDT,+199186+0i,+1.14461e+06+837316j,+391656+463827j,+358287+305580j,+394665+67908.6j
2021-08-08 04:30:00 CDT,+199186+0i,+1.18464e+06+837752j,+420867+464252j,+361685+305422j,+402084+68078.6j
2021-08-08 04:35:00 CDT,+199186+0i,+1.18731e+06+838512j,+398654+463917j,+367383+305661j,+421274+68933.5j
2021-08-08 04:40:00 CDT,+199186+0i,+1.20636e+06+838716j,+416542+464164j,+375303+305631j,+414517+68921.2j
2021-08-08 04:45:00 CDT,+199186+0i,+1.18694e+06+838432j,+409898+464128j,+364637+305442j,+412410+68861.3j
2021-08-08 04:50:00 CDT,+199186+0i,+1.19674e+06+838380j,+430562+464418j,+354017+305404j,+412162+68558.4j
2021-08-08 04:55:00 CDT,+199186+0i,+1.18761e+06+838363j,+423412+464305j,+364414+305752j,+399782+68306.5j
2021-08-08 05:00:00 CDT,+199186+0i,+1.2324e+06+839534j,+420885+464223j,+369853+305705j,+441659+69606.3j
2021-08-08 05:05:00 CDT,+199186+0i,+1.22161e+06+839749j,+405132+464068j,+364521+305478j,+451957+70203.5j
2021-08-08 05:10:00 CDT,+199186+0i,+1.20598e+06+839403j,+414176+464204j,+345864+305299j,+445937+69900.2j
2021-08-08 05:15:00 CDT,+199186+0i,+1.15951e+06+838434j,+393454+463892j,+331682+305023j,+434371+69518.2j
2021-08-08 05:20:00 CDT,+199186+0i,+1.14398e+06+837935j,+368042+463527j,+349133+305317j,+426804+69091.6j
2021-08-08 05:25:00 CDT,+199186+0i,+1.18449e+06+838762j,+399423+463907j,+366852+305910j,+418212+68944.8j
2021-08-08 05:30:00 CDT,+199186+0i,+1.24062e+06+840203j,+410230+464107j,+379602+306040j,+450792+70055.6j
2021-08-08 05:35:00 CDT,+199186+0i,+1.23004e+06+839753j,+410790+464068j,+374393+305650j,+444853+70035.1j
2021-08-08 05:40:00 CDT,+199186+0i,+1.22397e+06+839729j,+407579+463943j,+375335+305888j,+441053+69898.3j
2021-08-08 05:45:00 CDT,+199186+0i,+1.19692e+06+839192j,+406826+464032j,+349341+305446j,+440757+69714j
2021-08-08 05:50:00 CDT,+199186+0i,+1.20338e+06+838640j,+436780+464513j,+357130+305445j,+409466+68682.8j
2021-08-08 05:55:00 CDT,+199186+0i,+1.23483e+06+839602j,+450464+464685j,+368239+306106j,+416129+68810.4j
2021-08-08 06:00:00 CDT,+199186+0i,+1.2262e+06+839444j,+424852+464334j,+369508+306030j,+431841+69079.4j
2021-08-08 06:05:00 CDT,+199186+0i,+1.26368e+06+840021j,+416975+464130j,+389563+306209j,+457144+69681.9j
2021-08-08 06:10:00 CDT,+199186+0i,+1.25312e+06+840038j,+428270+464231j,+377224+306193j,+447623+69615.1j
2021-08-08 06:15:00 CDT,+199186+0i,+1.21015e+06+839008j,+409653+463991j,+370731+305903j,+429763+69113.6j
2021-08-08 06:20:00 CDT,+199186+0i,+1.22207e+06+839101j,+403364+463879j,+382621+306138j,+436083+69083.6j
2021-08-08 06:25:00 CDT,+199186+0i,+1.21604e+06+839033j,+392949+463692j,+389831+306286j,+433265+69055j
2021-08-08 06:30:00 CDT,+199186+0i,+1.25225e+06+839895j,+409139+464081j,+395163+306263j,+447944+69550.7j
2021-08-08 06:35:00 CDT,+199186+0i,+1.22534e+06+839446j,+413014+464229j,+372847+305697j,+439477+69520.5j
2021-08-08 06:40:00 CDT,+199186+0i,+1.19031e+06+838815j,+399012+463965j,+358312+305473j,+432989+69377.9j
2021-08-08 06:45:00 CDT,+199186+0i,+1.20716e+06+839083j,+410291+464128j,+373419+305754j,+423454+69201.8j
2021-08-08 06:50:00 CDT,+199186+0i,+1.19032e+06+839317j,+416068+464465j,+355899+305527j,+418351+69325.8j
2021-08-08 06:55:00 CDT,+199186+0i,+1.22332e+06+840034j,+431474+464827j,+365894+305857j,+425949+69350j
2021-08-08 07:00:00 CDT,+199186+0i,+1.18852e+06+839548j,+414491+464525j,+362954+306199j,+411071+68824.2j
2021-08-08 07:05:00 CDT,+199186+0i,+1.24199e+06+840692j,+427035+464737j,+372011+306235j,+442941+69719.9j
2021-08-08 07:10:00 CDT,+199186+0i,+1.25533e+06+841154j,+441447+465058j,+365671+306191j,+448211+69904.4j
2021-08-08 07:15:00 CDT,+199186+0i,+1.22515e+06+840404j,+438660+464961j,+348394+305765j,+438091+69678.3j
2021-08-08 07:20:00 CDT,+199186+0i,+1.28098e+06+841904j,+460515+465341j,+353420+305918j,+467041+70644.4j
2021-08-08 07:25:00 CDT,+199186+0i,+1.21901e+06+841269j,+408366+464508j,+352739+305938j,+457901+70823.8j
2021-08-08 07:30:00 CDT,+199186+0i,+1.17583e+06+840421j,+394226+464440j,+352381+306121j,+429228+69858.9j
2021-08-08 07:35:00 CDT,+199186+0i,+1.17805e+06+841584j,+399789+464970j,+354914+306209j,+423351+70405j
2021-08-08 07:40:00 CDT,+199186+0i,+1.185e+06+845086j,+408167+466373j,+363547+307506j,+413283+71206.4j
2021-08-08 07:45:00 CDT,+199186+0i,+1.20175e+06+846250j,+421055+466761j,+362339+307796j,+418352+71693.5j
2021-08-08 07:50:00 CDT,+199186+0i,+1.21083e+06+847339j,+429314+467265j,+352362+307703j,+429150+72371.5j
2021-08-08 07:55:00 CDT,+199186+0i,+1.24015e+06+848181j,+456423+467835j,+364170+308036j,+419561+72310j
2021-08-08 08:00:00 CDT,+199186+0i,+1.19969e+06+848658j,+444704+467861j,+348654+308202j,+406334+72595j
2021-08-08 08:05:00 CDT,+199186+0i,+1.24742e+06+850518j,+435247+467632j,+362447+308422j,+449723+74464.4j
2021-08-08 08:10:00 CDT,+199186+0i,+1.2008e+06+849572j,+415830+467502j,+349846+308252j,+435122+73818.1j
2021-08-08 08:15:00 CDT,+199186+0i,+1.16217e+06+848501j,+400811+467212j,+336074+308140j,+425283+73148.3j
2021-08-08 08:20:00 CDT,+199186+0i,+1.22052e+06+849875j,+435595+467868j,+349898+308338j,+435022+73669.5j
2021-08-08 08:25:00 CDT,+199186+0i,+1.20224e+06+849746j,+418248+467604j,+351922+308427j,+432069+73714.8j
2021-08-08 08:30:00 CDT,+199186+0i,+1.19148e+06+850462j,+409335+467501j,+338694+308254j,+443446+74707j
2021-08-08 08:35:00 CDT,+199186+0i,+1.21014e+06+861949j,+429179+473573j,+357161+313919j,+423804+74457.4j
2021-08-08 08:40:00 CDT,+199186+0i,+1.21296e+06+857501j,+409172+469894j,+372766+310979j,+431023+76627.4j
2021-08-08 08:45:00 CDT,+199186+0i,+1.20356e+06+858516j,+405573+470270j,+367013+311159j,+430978+77086.7j
2021-08-08 08:50:00 CDT,+199186+0i,+1.18341e+06+858778j,+395964+470174j,+351483+310993j,+435961+77610.4j
2021-08-08 08:55:00 CDT,+199186+0i,+1.16448e+06+858941j,+390548+470832j,+340136+310737j,+433797+77372.4j
2021-08-08 09:00:00 CDT,+199186+0i,+1.20206e+06+872080j,+407665+476816j,+354582+316600j,+439811+78664.7j
2021-08-08 09:05:00 CDT,+199186+0i,+1.15068e+06+860235j,+385945+470784j,+344486+311630j,+420252+77821.5j
2021-08-08 09:10:00 CDT,+199186+0i,+1.13828e+06+870119j,+387967+476076j,+346391+317154j,+403919+76888.6j
2021-08-08 09:15:00 CDT,+199186+0i,+1.18395e+06+880708j,+405332+477636j,+344267+317699j,+434347+85372.4j
2021-08-08 09:20:00 CDT,+199186+0i,+1.19541e+06+883211j,+416870+481261j,+354519+320720j,+424024+81230.2j
2021-08-08 09:25:00 CDT,+199186+0i,+1.16362e+06+864426j,+422196+473838j,+329399+312162j,+412022+78426.2j
